flight_id,flight_number,aircraft_id,departure_airport_id,arrival_airport_id,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,delay_minutes,flight_status
F000027,SKY141,AC003,AID008,AID002,2023-01-27 19:20:00,2023-01-28 06:20:00,2023-01-27 19:20:00,2023-01-28 06:20:00,0,On-Time
F000028,SKY149,AC006,AID014,AID008,2023-01-28 09:55:00,2023-01-28 12:55:00,2023-01-28 09:55:00,2023-01-28 12:55:00,0,On-Time
F000029,SKY160,AC005,AID010,AID003,2023-01-29 00:18:00,2023-01-29 02:18:00,2023-01-29 00:18:00,2023-01-29 02:18:00,0,On-Time
F000030,SKY152,AC008,AID012,AID001,2023-01-30 04:08:00,2023-01-30 16:08:00,2023-01-30 04:08:00,2023-01-30 16:08:00,0,On-Time
F000031,SKY109,AC015,AID002,AID009,2023-01-31 12:18:00,2023-01-31 18:18:00,2023-01-31 13:14:00,2023-01-31 19:14:00,56,Delayed
F000032,SKY132,AC005,AID007,AID004,2023-02-01 18:13:00,2023-02-01 23:13:00,2023-02-01 18:13:00,2023-02-01 23:13:00,0,On-Time
F000033,SKY125,AC018,AID004,AID013,2023-02-02 09:28:00,2023-02-02 13:28:00,2023-02-02 09:28:00,2023-02-02 13:28:00,0,On-Time
F000034,SKY149,AC015,AID014,AID008,2023-02-03 14:25:00,2023-02-03 16:25:00,2023-02-03 14:43:00,2023-02-03 16:43:00,18,Delayed
F000035,SKY137,AC015,AID005,AID003,2023-02-04 20:02:00,2023-02-05 01:02:00,2023-02-04 20:02:00,2023-02-05 01:02:00,0,On-Time
F000036,SKY116,AC015,AID009,AID006,2023-02-05 03:27:00,2023-02-05 17:27:00,2023-02-05 04:21:00,2023-02-05 18:21:00,54,Delayed
F000037,SKY126,AC003,AID004,AID015,2023-02-06 21:03:00,2023-02-07 02:03:00,2023-02-06 21:41:00,2023-02-07 02:41:00,38,Delayed
F000038,SKY116,AC004,AID009,AID006,2023-02-07 16:53:00,2023-02-08 02:53:00,2023-02-07 16:53:00,2023-02-08 02:53:00,0,On-Time
F000039,SKY105,AC011,AID001,AID005,2023-02-08 07:41:00,2023-02-08 13:41:00,2023-02-08 07:41:00,2023-02-08 13:41:00,0,On-Time
F000040,SKY138,AC014,AID005,AID011,2023-02-09 20:23:00,2023-02-09 23:23:00,2023-02-09 20:23:00,2023-02-09 23:23:00,0,On-Time
F000041,SKY149,AC013,AID014,AID008,2023-02-10 08:54:00,2023-02-10 12:54:00,2023-02-10 08:54:00,2023-02-10 12:54:00,0,On-Time
F000042,SKY129,AC001,AID006,AID013,2023-02-11 22:48:00,2023-02-12 01:48:00,2023-02-11 22:48:00,2023-02-12 01:48:00,0,On-Time
F000043,SKY110,AC014,AID002,AID012,2023-02-12 19:53:00,2023-02-12 22:53:00,2023-02-12 19:53:00,2023-02-12 22:53:00,0,On-Time
F000044,SKY111,AC002,AID002,AID008,2023-02-13 12:00:00,2023-02-14 01:00:00,2023-02-13 12:34:00,2023-02-14 01:34:00,34,Delayed
F000045,SKY131,AC014,AID006,AID003,2023-02-14 07:56:00,2023-02-14 16:56:00,2023-02-14 07:56:00,2023-02-14 16:56:00,0,On-Time
F000046,SKY145,AC003,AID011,AID005,2023-02-15 20:44:00,2023-02-15 23:44:00,2023-02-15 20:54:00,2023-02-15 23:54:00,10,Delayed
F000047,SKY136,AC019,AID005,AID002,2023-02-16 09:41:00,2023-02-16 21:41:00,2023-02-16 09:41:00,2023-02-16 21:41:00,0,On-Time
F000048,SKY150,AC012,AID012,AID002,2023-02-17 05:30:00,2023-02-17 09:30:00,2023-02-17 05:30:00,2023-02-17 09:30:00,0,On-Time
F000049,SKY139,AC018,AID005,AID014,2023-02-18 15:34:00,2023-02-18 17:34:00,2023-02-18 15:34:00,2023-02-18 17:34:00,0,On-Time
F000050,SKY143,AC005,AID008,AID014,2023-02-19 19:05:00,2023-02-19 21:05:00,2023-02-19 19:05:00,2023-02-19 21:05:00,0,On-Time
F000051,SKY135,AC005,AID005,AID001,2023-02-20 01:01:00,2023-02-20 07:01:00,2023-02-20 01:01:00,2023-02-20 07:01:00,0,On-Time
F000052,SKY158,AC004,AID015,AID004,2023-02-21 01:38:00,2023-02-21 07:38:00,2023-02-21 01:38:00,2023-02-21 07:38:00,0,On-Time
F000053,SKY126,AC009,AID004,AID015,2023-02-22 00:54:00,2023-02-22 06:54:00,2023-02-22 00:54:00,2023-02-22 06:54:00,0,On-Time
F000054,SKY115,AC010,AID009,AID012,2023-02-23 16:10:00,2023-02-23 23:10:00,2023-02-23 17:04:00,2023-02-24 00:04:00,54,Delayed
F000055,SKY136,AC007,AID005,AID002,2023-02-24 00:16:00,2023-02-24 14:16:00,2023-02-24 00:16:00,2023-02-24 14:16:00,0,On-Time
F000056,SKY158,AC008,AID015,AID004,2023-02-25 08:43:00,2023-02-25 14:43:00,2023-02-25 08:43:00,2023-02-25 14:43:00,0,On-Time
F000057,SKY110,AC002,AID002,AID012,2023-02-26 15:07:00,2023-02-26 18:07:00,2023-02-26 15:07:00,2023-02-26 18:07:00,0,On-Time
F000058,SKY130,AC015,AID006,AID007,2023-02-27 11:19:00,2023-02-27 23:19:00,2023-02-27 11:19:00,2023-02-27 23:19:00,0,On-Time
F000059,SKY140,AC008,AID008,AID001,2023-02-28 09:27:00,2023-02-28 12:27:00,2023-02-28 09:27:00,2023-02-28 12:27:00,0,On-Time
F000060,SKY136,AC007,AID005,AID002,2023-03-01 20:17:00,2023-03-02 08:17:00,2023-03-01 21:00:00,2023-03-02 09:00:00,43,Delayed
F000061,SKY118,AC019,AID003,AID001,2023-03-02 15:23:00,2023-03-02 23:23:00,2023-03-02 15:23:00,2023-03-02 23:23:00,0,On-Time
F000062,SKY151,AC007,AID012,AID009,2023-03-03 21:00:00,2023-03-04 03:00:00,2023-03-03 21:46:00,2023-03-04 03:46:00,46,Delayed
F000063,SKY156,AC011,AID013,AID015,2023-03-04 10:36:00,2023-03-04 14:36:00,2023-03-04 10:36:00,2023-03-04 14:36:00,0,On-Time
F000064,SKY160,AC011,AID010,AID003,2023-03-05 09:15:00,2023-03-05 13:15:00,2023-03-05 09:15:00,2023-03-05 13:15:00,0,On-Time
F000065,SKY108,AC009,AID002,AID001,2023-03-06 05:17:00,2023-03-06 18:17:00,2023-03-06 05:17:00,2023-03-06 18:17:00,0,On-Time
F000066,SKY111,AC015,AID002,AID008,2023-03-07 07:16:00,2023-03-07 18:16:00,2023-03-07 07:16:00,2023-03-07 18:16:00,0,On-Time
F000067,SKY139,AC009,AID005,AID014,2023-03-08 23:22:00,2023-03-09 03:22:00,2023-03-08 23:22:00,2023-03-09 03:22:00,0,On-Time
F000068,SKY147,AC001,AID014,AID001,2023-03-09 19:45:00,2023-03-10 02:45:00,2023-03-09 20:11:00,2023-03-10 03:11:00,26,Delayed
F000069,SKY159,AC017,AID015,AID013,2023-03-10 05:13:00,2023-03-10 13:13:00,2023-03-10 05:13:00,2023-03-10 13:13:00,0,On-Time
F000070,SKY106,AC014,AID001,AID008,2023-03-11 06:00:00,2023-03-11 08:00:00,2023-03-11 06:00:00,2023-03-11 08:00:00,0,On-Time
F000071,SKY140,AC019,AID008,AID001,2023-03-12 19:47:00,2023-03-12 23:47:00,2023-03-12 20:46:00,2023-03-13 00:46:00,59,Delayed
F000072,SKY150,AC014,AID012,AID002,2023-03-13 13:51:00,2023-03-13 17:51:00,2023-03-13 14:41:00,2023-03-13 18:41:00,50,Delayed
F000073,SKY124,AC004,AID004,AID007,2023-03-14 13:21:00,2023-03-14 18:21:00,2023-03-14 13:21:00,2023-03-14 18:21:00,0,On-Time
F000074,SKY146,AC003,AID011,AID014,2023-03-15 14:24:00,2023-03-15 17:24:00,2023-03-15 14:24:00,2023-03-15 17:24:00,0,On-Time
F000075,SKY104,AC010,AID001,AID006,2023-03-16 08:05:00,2023-03-16 22:05:00,2023-03-16 08:05:00,2023-03-16 22:05:00,0,On-Time
F000076,SKY132,AC007,AID007,AID004,2023-03-17 01:54:00,2023-03-17 06:54:00,2023-03-17 01:54:00,2023-03-17 06:54:00,0,On-Time
F000077,SKY144,AC017,AID011,AID001,2023-03-18 16:02:00,2023-03-18 18:02:00,2023-03-18 16:02:00,2023-03-18 18:02:00,0,On-Time
F000078,SKY126,AC016,AID004,AID015,2023-03-19 16:21:00,2023-03-19 21:21:00,2023-03-19 16:21:00,2023-03-19 21:21:00,0,On-Time
F000079,SKY146,AC009,AID011,AID014,2023-03-20 06:51:00,2023-03-20 09:51:00,2023-03-20 06:51:00,2023-03-20 09:51:00,0,On-Time
F000080,SKY107,AC019,AID001,AID011,2023-03-21 21:46:00,2023-03-22 01:46:00,2023-03-21 21:46:00,2023-03-22 01:46:00,0,On-Time
F000081,SKY128,AC016,AID006,AID004,2023-03-22 20:53:00,2023-03-23 01:53:00,2023-03-22 20:53:00,2023-03-23 01:53:00,0,On-Time
F000082,SKY134,AC005,AID007,AID013,2023-03-23 06:51:00,2023-03-23 12:51:00,2023-03-23 06:51:00,2023-03-23 12:51:00,0,On-Time
F000083,SKY125,AC006,AID004,AID013,2023-03-24 03:05:00,2023-03-24 07:05:00,2023-03-24 03:05:00,2023-03-24 07:05:00,0,On-Time
F000084,SKY116,AC014,AID009,AID006,2023-03-25 07:21:00,2023-03-25 18:21:00,2023-03-25 07:21:00,2023-03-25 18:21:00,0,On-Time
F000085,SKY155,AC019,AID013,AID007,2023-03-26 18:58:00,2023-03-26 23:58:00,2023-03-26 18:58:00,2023-03-26 23:58:00,0,On-Time
F000086,SKY144,AC014,AID011,AID001,2023-03-27 09:55:00,2023-03-27 13:55:00,2023-03-27 09:55:00,2023-03-27 13:55:00,0,On-Time
F000087,SKY143,AC019,AID008,AID014,2023-03-28 05:17:00,2023-03-28 08:17:00,2023-03-28 05:17:00,2023-03-28 08:17:00,0,On-Time
F000088,SKY117,AC014,AID009,AID007,2023-03-29 00:38:00,2023-03-29 11:38:00,2023-03-29 00:38:00,2023-03-29 11:38:00,0,On-Time
F000089,SKY127,AC015,AID004,AID003,2023-03-30 14:38:00,2023-03-30 22:38:00,2023-03-30 14:38:00,2023-03-30 22:38:00,0,On-Time
F000090,SKY157,AC007,AID015,AID003,2023-03-31 09:47:00,2023-03-31 13:47:00,2023-03-31 09:47:00,2023-03-31 13:47:00,0,On-Time
F000091,SKY106,AC013,AID001,AID008,2023-04-01 06:33:00,2023-04-01 10:33:00,2023-04-01 06:33:00,2023-04-01 10:33:00,0,On-Time
F000092,SKY106,AC014,AID001,AID008,2023-04-02 02:02:00,2023-04-02 05:02:00,2023-04-02 02:27:00,2023-04-02 05:27:00,25,Delayed
F000093,SKY125,AC004,AID004,AID013,2023-04-03 20:07:00,2023-04-04 01:07:00,2023-04-03 20:07:00,2023-04-04 01:07:00,0,On-Time
F000094,SKY148,AC013,AID014,AID005,2023-04-04 14:32:00,2023-04-04 16:32:00,2023-04-04 14:32:00,2023-04-04 16:32:00,0,On-Time
F000095,SKY141,AC011,AID008,AID002,2023-04-05 16:31:00,2023-04-06 02:31:00,2023-04-05 16:31:00,2023-04-06 02:31:00,0,On-Time
F000096,SKY141,AC019,AID008,AID002,2023-04-06 18:39:00,2023-04-07 06:39:00,2023-04-06 18:39:00,2023-04-07 06:39:00,0,On-Time
F000097,SKY128,AC012,AID006,AID004,2023-04-07 23:20:00,2023-04-08 06:20:00,2023-04-07 23:20:00,2023-04-08 06:20:00,0,On-Time
F000098,SKY114,AC005,AID009,AID002,2023-04-08 04:45:00,2023-04-08 09:45:00,2023-04-08 04:45:00,2023-04-08 09:45:00,0,On-Time
F000099,SKY122,AC010,AID003,AID004,2023-04-09 21:09:00,2023-04-10 05:09:00,2023-04-09 22:01:00,2023-04-10 06:01:00,52,Delayed
F000100,SKY107,AC010,AID001,AID011,2023-04-10 07:27:00,2023-04-10 10:27:00,2023-04-10 07:27:00,2023-04-10 10:27:00,0,On-Time
F000101,SKY112,AC004,AID002,AID005,2023-04-11 23:25:00,2023-04-12 07:25:00,2023-04-11 23:25:00,2023-04-12 07:25:00,0,On-Time
F000102,SKY160,AC012,AID010,AID003,2023-04-12 05:19:00,2023-04-12 07:19:00,2023-04-12 05:19:00,2023-04-12 07:19:00,0,On-Time
F000103,SKY101,AC013,AID001,AID009,2023-04-13 22:20:00,2023-04-14 08:20:00,2023-04-13 22:30:00,2023-04-14 08:30:00,10,Delayed
F000104,SKY111,AC018,AID002,AID008,2023-04-14 23:50:00,2023-04-15 12:50:00,2023-04-14 23:50:00,2023-04-15 12:50:00,0,On-Time
F000105,SKY112,AC019,AID002,AID005,2023-04-15 22:59:00,2023-04-16 09:59:00,2023-04-15 23:29:00,2023-04-16 10:29:00,30,Delayed
F000106,SKY127,AC001,AID004,AID003,2023-04-16 12:49:00,2023-04-16 20:49:00,2023-04-16 12:49:00,2023-04-16 20:49:00,0,On-Time
F000107,SKY120,AC018,AID003,AID010,2023-04-17 03:26:00,2023-04-17 05:26:00,2023-04-17 03:26:00,2023-04-17 05:26:00,0,On-Time
F000108,SKY125,AC005,AID004,AID013,2023-04-18 14:07:00,2023-04-18 20:07:00,2023-04-18 14:18:00,2023-04-18 20:18:00,11,Delayed
F000109,SKY146,AC001,AID011,AID014,2023-04-19 01:14:00,2023-04-19 04:14:00,2023-04-19 01:14:00,2023-04-19 04:14:00,0,On-Time
F000110,SKY109,AC007,AID002,AID009,2023-04-20 16:57:00,2023-04-20 21:57:00,2023-04-20 16:57:00,2023-04-20 21:57:00,0,On-Time
F000111,SKY147,AC011,AID014,AID001,2023-04-21 06:57:00,2023-04-21 14:57:00,2023-04-21 06:57:00,2023-04-21 14:57:00,0,On-Time
F000112,SKY125,AC004,AID004,AID013,2023-04-22 08:14:00,2023-04-22 12:14:00,2023-04-22 08:14:00,2023-04-22 12:14:00,0,On-Time
F000113,SKY111,AC010,AID002,AID008,2023-04-23 10:47:00,2023-04-23 19:47:00,2023-04-23 10:47:00,2023-04-23 19:47:00,0,On-Time
F000114,SKY120,AC009,AID003,AID010,2023-04-24 06:53:00,2023-04-24 08:53:00,2023-04-24 07:08:00,2023-04-24 09:08:00,15,Delayed
F000115,SKY110,AC019,AID002,AID012,2023-04-25 04:01:00,2023-04-25 07:01:00,2023-04-25 04:01:00,2023-04-25 07:01:00,0,On-Time
F000116,SKY128,AC007,AID006,AID004,2023-04-26 08:35:00,2023-04-26 14:35:00,2023-04-26 09:35:00,2023-04-26 15:35:00,60,Delayed
F000117,SKY116,AC018,AID009,AID006,2023-04-27 19:29:00,2023-04-28 05:29:00,2023-04-27 19:29:00,2023-04-28 05:29:00,0,On-Time
F000118,SKY158,AC010,AID015,AID004,2023-04-28 08:13:00,2023-04-28 12:13:00,2023-04-28 08:13:00,2023-04-28 12:13:00,0,On-Time
F000119,SKY118,AC010,AID003,AID001,2023-04-29 05:52:00,2023-04-29 17:52:00,2023-04-29 05:52:00,2023-04-29 17:52:00,0,On-Time
F000120,SKY106,AC018,AID001,AID008,2023-04-30 02:37:00,2023-04-30 04:37:00,2023-04-30 02:49:00,2023-04-30 04:49:00,12,Delayed
F000121,SKY153,AC007,AID013,AID004,2023-05-01 04:27:00,2023-05-01 08:27:00,2023-05-01 04:27:00,2023-05-01 08:27:00,0,On-Time
F000122,SKY151,AC016,AID012,AID009,2023-05-02 02:30:00,2023-05-02 09:30:00,2023-05-02 02:30:00,2023-05-02 09:30:00,0,On-Time
F000123,SKY148,AC017,AID014,AID005,2023-05-03 04:32:00,2023-05-03 06:32:00,2023-05-03 04:51:00,2023-05-03 06:51:00,19,Delayed
F000124,SKY105,AC017,AID001,AID005,2023-05-04 17:40:00,2023-05-05 00:40:00,2023-05-04 17:40:00,2023-05-05 00:40:00,0,On-Time
F000125,SKY100,AC011,AID001,AID002,2023-05-05 00:06:00,2023-05-05 10:06:00,2023-05-05 00:06:00,2023-05-05 10:06:00,0,On-Time
F000126,SKY133,AC004,AID007,AID006,2023-05-06 14:48:00,2023-05-07 03:48:00,2023-05-06 15:09:00,2023-05-07 04:09:00,21,Delayed
F000127,SKY101,AC014,AID001,AID009,2023-05-07 06:51:00,2023-05-07 14:51:00,2023-05-07 06:51:00,2023-05-07 14:51:00,0,On-Time
F000128,SKY120,AC018,AID003,AID010,2023-05-08 22:14:00,2023-05-09 01:14:00,2023-05-08 22:14:00,2023-05-09 01:14:00,0,On-Time
F000129,SKY109,AC008,AID002,AID009,2023-05-09 22:51:00,2023-05-10 05:51:00,2023-05-09 22:51:00,2023-05-10 05:51:00,0,On-Time
F000130,SKY128,AC011,AID006,AID004,2023-05-10 21:08:00,2023-05-11 01:08:00,2023-05-10 21:08:00,2023-05-11 01:08:00,0,On-Time
F000131,SKY130,AC006,AID006,AID007,2023-05-11 14:50:00,2023-05-12 00:50:00,2023-05-11 14:50:00,2023-05-12 00:50:00,0,On-Time
F000132,SKY134,AC001,AID007,AID013,2023-05-12 20:56:00,2023-05-13 02:56:00,2023-05-12 21:44:00,2023-05-13 03:44:00,48,Delayed
F000133,SKY160,AC016,AID010,AID003,2023-05-13 07:07:00,2023-05-13 09:07:00,2023-05-13 07:07:00,2023-05-13 09:07:00,0,On-Time
F000134,SKY132,AC019,AID007,AID004,2023-05-14 06:36:00,2023-05-14 13:36:00,2023-05-14 07:34:00,2023-05-14 14:34:00,58,Delayed
F000135,SKY153,AC005,AID013,AID004,2023-05-15 01:45:00,2023-05-15 06:45:00,2023-05-15 01:45:00,2023-05-15 06:45:00,0,On-Time
F000136,SKY160,AC009,AID010,AID003,2023-05-16 01:15:00,2023-05-16 04:15:00,2023-05-16 01:15:00,2023-05-16 04:15:00,0,On-Time
F000137,SKY104,AC010,AID001,AID006,2023-05-17 20:06:00,2023-05-18 10:06:00,2023-05-17 20:06:00,2023-05-18 10:06:00,0,On-Time
F000138,SKY105,AC017,AID001,AID005,2023-05-18 16:50:00,2023-05-19 00:50:00,2023-05-18 16:50:00,2023-05-19 00:50:00,0,On-Time
F000139,SKY144,AC006,AID011,AID001,2023-05-19 03:06:00,2023-05-19 05:06:00,2023-05-19 03:06:00,2023-05-19 05:06:00,0,On-Time
F000140,SKY147,AC004,AID014,AID001,2023-05-20 13:54:00,2023-05-20 18:54:00,2023-05-20 13:54:00,2023-05-20 18:54:00,0,On-Time
F000141,SKY118,AC019,AID003,AID001,2023-05-21 09:23:00,2023-05-21 18:23:00,2023-05-21 09:23:00,2023-05-21 18:23:00,0,On-Time
F000142,SKY144,AC012,AID011,AID001,2023-05-22 09:20:00,2023-05-22 12:20:00,2023-05-22 09:20:00,2023-05-22 12:20:00,0,On-Time
F000143,SKY119,AC007,AID003,AID015,2023-05-23 16:31:00,2023-05-23 23:31:00,2023-05-23 17:05:00,2023-05-24 00:05:00,34,Delayed
F000144,SKY119,AC017,AID003,AID015,2023-05-24 22:03:00,2023-05-25 02:03:00,2023-05-24 22:03:00,2023-05-25 02:03:00,0,On-Time
F000145,SKY114,AC003,AID009,AID002,2023-05-25 03:02:00,2023-05-25 09:02:00,2023-05-25 03:02:00,2023-05-25 09:02:00,0,On-Time
F000146,SKY134,AC015,AID007,AID013,2023-05-26 05:57:00,2023-05-26 09:57:00,2023-05-26 05:57:00,2023-05-26 09:57:00,0,On-Time
F000147,SKY107,AC019,AID001,AID011,2023-05-27 22:49:00,2023-05-28 00:49:00,2023-05-27 22:49:00,2023-05-28 00:49:00,0,On-Time
F000148,SKY130,AC004,AID006,AID007,2023-05-28 17:13:00,2023-05-29 03:13:00,2023-05-28 17:13:00,2023-05-29 03:13:00,0,On-Time
F000149,SKY130,AC011,AID006,AID007,2023-05-29 05:28:00,2023-05-29 17:28:00,2023-05-29 05:28:00,2023-05-29 17:28:00,0,On-Time
F000150,SKY116,AC007,AID009,AID006,2023-05-30 00:40:00,2023-05-30 14:40:00,2023-05-30 00:40:00,2023-05-30 14:40:00,0,On-Time
F000151,SKY146,AC003,AID011,AID014,2023-05-31 21:50:00,2023-06-01 00:50:00,2023-05-31 22:20:00,2023-06-01 01:20:00,30,Delayed
F000152,SKY124,AC005,AID004,AID007,2023-06-01 07:32:00,2023-06-01 12:32:00,2023-06-01 07:32:00,2023-06-01 12:32:00,0,On-Time
F000153,SKY140,AC015,AID008,AID001,2023-06-02 20:47:00,2023-06-02 23:47:00,2023-06-02 20:47:00,2023-06-02 23:47:00,0,On-Time
F000154,SKY106,AC019,AID001,AID008,2023-06-03 19:11:00,2023-06-03 22:11:00,2023-06-03 19:11:00,2023-06-03 22:11:00,0,On-Time
F000155,SKY105,AC006,AID001,AID005,2023-06-04 11:14:00,2023-06-04 19:14:00,2023-06-04 11:14:00,2023-06-04 19:14:00,0,On-Time
F000156,SKY142,AC005,AID008,AID011,2023-06-05 05:37:00,2023-06-05 09:37:00,2023-06-05 05:37:00,2023-06-05 09:37:00,0,On-Time
F000157,SKY130,AC001,AID006,AID007,2023-06-06 08:45:00,2023-06-06 21:45:00,2023-06-06 09:21:00,2023-06-06 22:21:00,36,Delayed
F000158,SKY131,AC013,AID006,AID003,2023-06-07 15:51:00,2023-06-07 23:51:00,2023-06-07 15:51:00,2023-06-07 23:51:00,0,On-Time
F000159,SKY104,AC017,AID001,AID006,2023-06-08 02:42:00,2023-06-08 11:42:00,2023-06-08 02:42:00,2023-06-08 11:42:00,0,On-Time
F000160,SKY143,AC016,AID008,AID014,2023-06-09 14:06:00,2023-06-09 18:06:00,2023-06-09 14:06:00,2023-06-09 18:06:00,0,On-Time
F000161,SKY142,AC007,AID008,AID011,2023-06-10 05:48:00,2023-06-10 07:48:00,2023-06-10 06:28:00,2023-06-10 08:28:00,40,Delayed
F000162,SKY105,AC014,AID001,AID005,2023-06-11 23:44:00,2023-06-12 03:44:00,2023-06-11 23:44:00,2023-06-12 03:44:00,0,On-Time
F000163,SKY118,AC008,AID003,AID001,2023-06-12 12:18:00,2023-06-13 02:18:00,2023-06-12 12:18:00,2023-06-13 02:18:00,0,On-Time
F000164,SKY129,AC015,AID006,AID013,2023-06-13 16:06:00,2023-06-13 18:06:00,2023-06-13 16:06:00,2023-06-13 18:06:00,0,On-Time
F000165,SKY154,AC010,AID013,AID006,2023-06-14 23:08:00,2023-06-15 01:08:00,2023-06-14 23:08:00,2023-06-15 01:08:00,0,On-Time
F000166,SKY137,AC001,AID005,AID003,2023-06-15 06:34:00,2023-06-15 10:34:00,2023-06-15 06:34:00,2023-06-15 10:34:00,0,On-Time
F000167,SKY118,AC002,AID003,AID001,2023-06-16 05:54:00,2023-06-16 14:54:00,2023-06-16 05:54:00,2023-06-16 14:54:00,0,On-Time
F000168,SKY117,AC002,AID009,AID007,2023-06-17 12:18:00,2023-06-18 02:18:00,2023-06-17 12:55:00,2023-06-18 02:55:00,37,Delayed
F000169,SKY159,AC005,AID015,AID013,2023-06-18 14:01:00,2023-06-18 20:01:00,2023-06-18 14:01:00,2023-06-18 20:01:00,0,On-Time
F000170,SKY106,AC019,AID001,AID008,2023-06-19 03:15:00,2023-06-19 05:15:00,2023-06-19 03:15:00,2023-06-19 05:15:00,0,On-Time
F000171,SKY106,AC010,AID001,AID008,2023-06-20 12:45:00,2023-06-20 15:45:00,2023-06-20 12:45:00,2023-06-20 15:45:00,0,On-Time
F000172,SKY154,AC019,AID013,AID006,2023-06-21 10:54:00,2023-06-21 12:54:00,2023-06-21 10:54:00,2023-06-21 12:54:00,0,On-Time
F000173,SKY115,AC009,AID009,AID012,2023-06-22 20:31:00,2023-06-23 02:31:00,2023-06-22 20:31:00,2023-06-23 02:31:00,0,On-Time
