maintenance_id|aircraft_id|engineer_id|maintenance_type|maintenance_date|cost|downtime_hours
M000145|AC014|E002|Routine|2024-12-28|12581|12
M000146|AC015|E014|Routine|2023-01-27|11892|12
M000147|AC015|E010|Engine Check|2023-02-27|24051|44
M000148|AC015|E006|Engine Check|2023-05-10|31570|37
M000149|AC015|E012|Routine|2023-07-24|12807|9
M000150|AC015|E011|Routine|2023-08-24|7242|12
M000151|AC015|E008|Routine|2023-09-18|7597|9
M000152|AC015|E015|Heavy Maintenance|2023-10-24|80909|264
M000153|AC015|E010|Routine|2024-04-28|13173|7
M000154|AC015|E001|Routine|2024-05-26|13282|10
M000155|AC015|E001|Routine|2024-06-26|14749|7
M000156|AC015|E010|Engine Check|2024-07-22|21042|39
M000157|AC015|E003|Engine Check|2024-09-28|30176|65
M000158|AC015|E003|Engine Check|2024-11-25|41077|57
M000159|AC016|E015|Engine Check|2023-01-26|41295|41
M000160|AC016|E002|Routine|2023-04-13|5310|9
M000161|AC016|E003|Routine|2023-05-11|8336|8
M000162|AC016|E004|Routine|2023-06-23|13204|11
M000163|AC016|E008|Routine|2023-07-29|10221|10
M000164|AC016|E006|Engine Check|2023-09-01|37339|55
M000165|AC016|E007|Routine|2023-11-08|9934|10
M000166|AC016|E001|Engine Check|2023-12-04|45968|51
M000167|AC016|E002|Routine|2024-02-04|5668|8
M000168|AC016|E013|Heavy Maintenance|2024-03-13|102192|121
M000169|AC016|E006|Engine Check|2024-08-25|39560|57
M000170|AC016|E009|Routine|2024-11-03|8393|8
M000171|AC016|E008|Routine|2024-12-13|13851|11
M000172|AC017|E015|Heavy Maintenance|2023-01-07|127310|231
M000173|AC017|E012|Engine Check|2023-06-14|25515|54
M000174|AC017|E004|Engine Check|2023-08-18|27790|56
M000175|AC017|E014|Engine Check|2023-10-16|41418|71
M000176|AC017|E003|Engine Check|2023-12-23|39092|62
M000177|AC017|E009|Routine|2024-02-21|6359|7
M000178|AC017|E009|Routine|2024-03-28|10547|11
M000179|AC017|E011|Routine|2024-04-26|12710|6
M000180|AC017|E003|Heavy Maintenance|2024-05-29|134635|225
M000181|AC017|E001|Engine Check|2024-12-15|34527|28
M000182|AC018|E011|Routine|2023-01-17|7055|10
M000183|AC018|E006|Engine Check|2023-02-26|45141|34
M000184|AC018|E003|Routine|2023-05-16|12825|6
M000185|AC018|E015|Heavy Maintenance|2023-06-23|89326|255
M000186|AC018|E007|Routine|2023-12-03|9693|12
M000187|AC018|E015|Engine Check|2024-01-14|23513|39
M000188|AC018|E013|Heavy Maintenance|2024-03-13|97632|147
M000189|AC018|E001|Engine Check|2024-10-09|26644|58
M000190|AC018|E001|Routine|2024-12-30|9762|6
M000191|AC019|E013|Heavy Maintenance|2023-01-31|146825|171
M000192|AC019|E004|Engine Check|2023-07-06|47039|51
M000193|AC019|E001|Routine|2023-09-28|9220|10
M000194|AC019|E006|Engine Check|2023-10-26|48246|37
M000195|AC019|E005|Routine|2024-01-12|11447|11
M000196|AC019|E015|Heavy Maintenance|2024-02-18|123760|144
M000197|AC019|E015|Heavy Maintenance|2024-08-17|143766|185
